ID,Category,Supercategory
n02892767,"brassiere, bra, bandeau","undergarment, unmentionable"
n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",barrier
n02895154,"breastplate, aegis, egis","armor plate, armour plate, armor plating, plate armor, plate armour"
n02906734,broom,"cleaning implement, cleaning device, cleaning equipment"
n02909870,"bucket, pail",vessel
n02910353,buckle,"fastener, fastening, holdfast, fixing"
n02916936,bulletproof vest,"vest, waistcoat"
n02917067,"bullet train, bullet",passenger train
n02927161,"butcher shop, meat market","shop, store"
n02930766,"cab, hack, taxi, taxicab","car, auto, automobile, machine, motorcar"
n02939185,"caldron, cauldron",pot
n02948072,"candle, taper, wax light",lamp
n02950826,cannon,gun
n02951358,canoe,small boat
n02951585,"can opener, tin opener",opener
n02963159,cardigan,"sweater, jumper"
n02965783,car mirror,mirror
n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig",ride
n02966687,"carpenter's kit, tool kit","kit, outfit"
n02971356,carton,box
n02974003,car wheel,wheel
n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",machine
n02978881,cassette,container
n02979186,cassette player,electronic equipment
n02980441,castle,"fortification, munition"
n02981792,catamaran,"sailboat, sailing boat"
n02988304,CD player,electronic equipment
n02992211,"cello, violoncello","bowed stringed instrument, string"
n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone","radiotelephone, radiophone, wireless telephone"
n02999410,chain,ligament
n03000134,chainlink fence,"fence, fencing"
n03000247,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","body armor, body armour, suit of armor, suit of armour, coat of mail, cataphract"
n03000684,"chain saw, chainsaw","power saw, saw, sawing machine"
n03014705,chest,box
n03016953,"chiffonier, commode","chest of drawers, chest, bureau, dresser"
n03017168,"chime, bell, gong","percussion instrument, percussive instrument"
n03018349,"china cabinet, china closet",cabinet
n03026506,Christmas stocking,stocking
n03028079,"church, church building","place of worship, house of prayer, house of God, house of worship"
n03032252,"cinema, movie theater, movie theatre, movie house, picture palace","theater, theatre, house"
n03041632,"cleaver, meat cleaver, chopper",knife
n03042490,cliff dwelling,"dwelling, home, domicile, abode, habitation, dwelling house"
n03045698,cloak,covering
n03047690,"clog, geta, patten, sabot","footwear, footgear"
n03062245,cocktail shaker,shaker
n03063599,coffee mug,mug
n03063689,coffeepot,pot
n03065424,"coil, spiral, volute, whorl, helix","structure, construction"
n03075370,combination lock,lock
n03085013,"computer keyboard, keypad",keyboard
n03089624,"confectionery, confectionary, candy store","shop, store"
n03095699,"container ship, containership, container vessel","cargo ship, cargo vessel"
n03100240,convertible,"car, auto, automobile, machine, motorcar"
n03109150,"corkscrew, bottle screw",bottle opener
n03110669,"cornet, horn, trumpet, trump","brass, brass instrument"
n03124043,cowboy boot,boot
n03124170,"cowboy hat, ten-gallon hat","hat, chapeau, lid"
n03125729,cradle,"baby bed, baby's bed"
n03126707,crane,lifting device
n03127747,crash helmet,helmet
n03127925,crate,box
n03131574,"crib, cot","baby bed, baby's bed"
n03133878,Crock Pot,cooker
n03134739,croquet ball,ball
n03141823,crutch,staff
n03146219,cuirass,"body armor, body armour, suit of armor, suit of armour, coat of mail, cataphract"
n03160309,"dam, dike, dyke",barrier
n03179701,desk,table
n03180011,desktop computer,"personal computer, PC, microcomputer"
n03187595,"dial telephone, dial phone","telephone, phone, telephone set"
n03188531,"diaper, nappy, napkin",garment
n03196217,digital clock,clock
n03197337,digital watch,"watch, ticker"
n03201208,"dining table, board",table
n03207743,"dishrag, dishcloth","piece of cloth, piece of material"
n03207941,"dishwasher, dish washer, dishwashing machine",white goods
n03208938,"disk brake, disc brake","hydraulic brake, hydraulic brakes"
n03216828,"dock, dockage, docking facility","landing, landing place"
n03218198,"dogsled, dog sled, dog sleigh","sled, sledge, sleigh"
n03220513,dome,roof
n03223299,"doormat, welcome mat",mat
n03240683,"drilling platform, offshore rig","drill rig, drilling rig, oilrig, oil rig"
n03249569,"drum, membranophone, tympan","percussion instrument, percussive instrument"
n03250847,drumstick,stick
n03255030,dumbbell,"weight, free weight, exercising weight"
n03259280,Dutch oven,oven
n03271574,"electric fan, blower",fan
n03272010,electric guitar,guitar
n03272562,electric locomotive,"locomotive, engine, locomotive engine, railway locomotive"
n03290653,entertainment center,wall unit
n03291819,envelope,container
n03297495,espresso maker,coffee maker
n03314780,face powder,"makeup, make-up, war paint"
n03325584,"feather boa, boa",scarf
n03337140,"file, file cabinet, filing cabinet",office furniture
n03344393,fireboat,boat
n03345487,"fire engine, fire truck","truck, motortruck"
n03347037,"fire screen, fireguard",screen
n03355925,"flagpole, flagstaff",staff
n03372029,"flute, transverse flute","woodwind, woodwind instrument, wood"
n03376595,folding chair,chair
n03379051,football helmet,helmet
n03384352,forklift,self-propelled vehicle
n03388043,fountain,"structure, construction"
n03388183,fountain pen,pen
n03388549,four-poster,bed
n03393912,freight car,"car, railcar, railway car, railroad car"
n03394916,"French horn, horn","brass, brass instrument"
n03400231,"frying pan, frypan, skillet","pan, cooking pan"
n03404251,fur coat,coat
n03417042,"garbage truck, dustcart","truck, motortruck"
n03424325,"gasmask, respirator, gas helmet",mask
n03425413,"gas pump, gasoline pump, petrol pump, island dispenser",pump
n03443371,goblet,"glass, drinking glass"
n03444034,go-kart,"motor vehicle, automotive vehicle"
n03445777,golf ball,golf equipment
n03445924,"golfcart, golf cart","motor vehicle, automotive vehicle"
n03447447,gondola,boat
n03447721,"gong, tam-tam","percussion instrument, percussive instrument"
n03450230,gown,"dress, frock"
n03452741,"grand piano, grand","piano, pianoforte, forte-piano"
n03457902,"greenhouse, nursery, glasshouse","building, edifice"
n03459775,"grille, radiator grille","grate, grating"
n03461385,"grocery store, grocery, food market, market","marketplace, market place, mart, market"
n03467068,guillotine,instrument of execution
n03476684,hair slide,clip
n03476991,hair spray,"toiletry, toilet articles"
n03478589,half track,military vehicle
n03481172,hammer,hand tool
n03482405,hamper,"basket, handbasket"
n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier",blower
n03485407,"hand-held computer, hand-held microcomputer",portable computer
n03485794,"handkerchief, hankie, hanky, hankey","piece of cloth, piece of material"
n03492542,"hard disc, hard disk, fixed disk","magnetic disk, magnetic disc, disk, disc"
n03494278,"harmonica, mouth organ, harp, mouth harp",free-reed instrument
n03495258,harp,chordophone
n03496892,"harvester, reaper",farm machine
n03498962,hatchet,"ax, axe"
n03527444,holster,sheath
n03529860,"home theater, home theatre","theater, theatre, house"
n03530642,honeycomb,framework
n03532672,"hook, claw",mechanical device
n03534580,"hoopskirt, crinoline",skirt
n03535780,"horizontal bar, high bar","gymnastic apparatus, exerciser"
n03538406,"horse cart, horse-cart",cart
n03544143,hourglass,sandglass
n03584254,iPod,"stereo, stereophony, stereo system, stereophonic system"
n03584829,"iron, smoothing iron","home appliance, household appliance"
n03590841,jack-o'-lantern,lantern
n03594734,"jean, blue jean, denim",workwear
n03594945,"jeep, landrover","car, auto, automobile, machine, motorcar"
n03595614,"jersey, T-shirt, tee shirt",shirt
n03598930,jigsaw puzzle,puzzle
n03599486,"jinrikisha, ricksha, rickshaw",cart
n03602883,joystick,"control, controller"
n03617480,kimono,robe
n03623198,knee pad,protective garment
n03627232,knot,"fastener, fastening, holdfast, fixing"
n03630383,"lab coat, laboratory coat",coat
n03633091,ladle,vessel
n03637318,"lampshade, lamp shade",shade
n03642806,"laptop, laptop computer",portable computer
n03649909,"lawn mower, mower","garden tool, lawn tool"
n03657121,"lens cap, lens cover",cap
n03658185,"letter opener, paper knife, paperknife",knife
n03661043,library,"building, edifice"
n03662601,lifeboat,sea boat
n03666591,"lighter, light, igniter, ignitor",device
n03670208,"limousine, limo","car, auto, automobile, machine, motorcar"
n03673027,"liner, ocean liner",passenger ship
n03676483,"lipstick, lip rouge","makeup, make-up, war paint"
n03680355,Loafer,shoe
n03690938,lotion,"toiletry, toilet articles"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",electro-acoustic transducer
n03692522,"loupe, jeweler's loupe","hand glass, simple microscope, magnifying glass"
n03697007,"lumbermill, sawmill","factory, mill, manufacturing plant, manufactory"
n03706229,magnetic compass,compass
n03709823,"mailbag, postbag",bag
n03710193,"mailbox, letter box",box
n03710637,maillot,"tights, leotards"
n03710721,"maillot, tank suit","swimsuit, swimwear, bathing suit, swimming costume, bathing costume"
n03717622,manhole cover,"top, cover"
n03720891,maraca,"percussion instrument, percussive instrument"
n03721384,"marimba, xylophone","percussion instrument, percussive instrument"
n03724870,mask,covering
n03729826,matchstick,stick
n03733131,maypole,post
n03733281,"maze, labyrinth",system
n03733805,measuring cup,measure
n03742115,"medicine chest, medicine cabinet",cabinet
n03743016,"megalith, megalithic structure","memorial, monument"
n03759954,"microphone, mike",electro-acoustic transducer
n03761084,"microwave, microwave oven",kitchen appliance
n03763968,military uniform,uniform
n03764736,milk can,"can, tin, tin can"
n03769881,minibus,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle"
n03770439,"miniskirt, mini",skirt
n03770679,minivan,passenger van
n03773504,missile,"rocket, projectile"
n03775071,mitten,glove
n03775546,mixing bowl,bowl
n03776460,"mobile home, manufactured home","trailer, house trailer"
n03777568,Model T,"car, auto, automobile, machine, motorcar"
n03777754,modem,electronic equipment
n03781244,monastery,"religious residence, cloister"
n03782006,monitor,electronic equipment
n03785016,moped,"minibike, motorbike"
n03786901,mortar,vessel
n03787032,mortarboard,cap
n03788195,mosque,"place of worship, house of prayer, house of God, house of worship"
n03788365,mosquito net,screen
n03791053,"motor scooter, scooter",wheeled vehicle
n03792782,"mountain bike, all-terrain bike, off-roader","bicycle, bike, wheel, cycle"
n03792972,mountain tent,"tent, collapsible shelter"
n03793489,"mouse, computer mouse",electronic device
n03794056,mousetrap,trap
n03796401,moving van,van
n03803284,muzzle,"restraint, constraint"
n03804744,nail,"fastener, fastening, holdfast, fixing"
n03814639,neck brace,brace
n03814906,necklace,"jewelry, jewellery"
n03825788,nipple,cap
n03832673,"notebook, notebook computer",portable computer
n03837869,obelisk,"column, pillar"
n03838899,"oboe, hautboy, hautbois","double-reed instrument, double reed"
n03840681,"ocarina, sweet potato","wind instrument, wind"
n03841143,"odometer, hodometer, mileometer, milometer",meter
n03843555,oil filter,filter
n03854065,"organ, pipe organ","wind instrument, wind"
n03857828,"oscilloscope, scope, cathode-ray oscilloscope, CRO",electronic equipment
n03866082,overskirt,skirt
n03868242,oxcart,cart
n03868863,oxygen mask,"breathing device, breathing apparatus, breathing machine, ventilator"
n03871628,packet,"package, parcel"
n03873416,"paddle, boat paddle",oar
n03874293,"paddlewheel, paddle wheel",wheel
n03874599,padlock,lock
n03876231,paintbrush,"applicator, applier"
n03877472,"pajama, pyjama, pj's, jammies","nightwear, sleepwear, nightclothes"
n03877845,palace,residence
n03884397,"panpipe, pandean pipe, syrinx",pipe
n03887697,paper towel,towel
n03888257,"parachute, chute",rescue equipment
n03888605,"parallel bars, bars","gymnastic apparatus, exerciser"
n03891251,park bench,bench
n03891332,parking meter,timer
n03895866,"passenger car, coach, carriage","car, railcar, railway car, railroad car"
n03899768,"patio, terrace",area
n03902125,"pay-phone, pay-station","telephone, phone, telephone set"
n03903868,"pedestal, plinth, footstall",support
n03908618,"pencil box, pencil case",box
n03908714,pencil sharpener,sharpener
n03916031,"perfume, essence","toiletry, toilet articles"
n03920288,Petri dish,dish
n03924679,photocopier,"duplicator, copier"
n03929660,"pick, plectrum, plectron",device
n03929855,pickelhaube,helmet
n03930313,"picket fence, paling","fence, fencing"
n03930630,"pickup, pickup truck","truck, motortruck"
n03933933,pier,support
n03935335,"piggy bank, penny bank","savings bank, coin bank, money box, bank"
n03937543,pill bottle,bottle
n03938244,pillow,cushion
n03942813,ping-pong ball,ball
n03944341,pinwheel,wheel
n03947888,"pirate, pirate ship",ship
n03950228,"pitcher, ewer",vessel
n03954731,"plane, carpenter's plane, woodworking plane",hand tool
n03956157,planetarium,"building, edifice"
n03958227,plastic bag,bag
n03961711,plate rack,rack
n03967562,"plow, plough",tool
n03970156,"plunger, plumber's helper",hand tool
n03976467,"Polaroid camera, Polaroid Land camera","camera, photographic camera"
n03976657,pole,rod
n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",van
n03980874,poncho,cloak
n03982430,"pool table, billiard table, snooker table",table
n03983396,"pop bottle, soda bottle",bottle
n03991062,"pot, flowerpot",container
n03992509,potter's wheel,wheel
n03995372,power drill,drill
n03998194,"prayer rug, prayer mat","rug, carpet, carpeting"
n04004767,printer,"printer, printing machine"
n04005630,"prison, prison house",correctional institution
n04008634,"projectile, missile","weapon, arm, weapon system"
n04009552,projector,optical instrument
n04019541,"puck, hockey puck","disk, disc"
n04023962,"punching bag, punch bag, punching ball, punchball",ball
n04026417,purse,bag
n04033901,"quill, quill pen",pen
n04033995,"quilt, comforter, comfort, puff","bedclothes, bed clothing, bedding"
n04037443,"racer, race car, racing car","car, auto, automobile, machine, motorcar"
n04039381,"racket, racquet",sports implement
n04040759,radiator,mechanism
n04041544,"radio, wireless",communication system
n04044716,"radio telescope, radio reflector",astronomical telescope
n04049303,rain barrel,cistern
n04065272,"recreational vehicle, RV, R.V.",self-propelled vehicle
n04067472,reel,winder
n04069434,reflex camera,"camera, photographic camera"
n04070727,"refrigerator, icebox",white goods
n04074963,"remote control, remote",device
n04081281,"restaurant, eating house, eating place, eatery","building, edifice"
n04086273,"revolver, six-gun, six-shooter","pistol, handgun, side arm, shooting iron"
n04090263,rifle,"firearm, piece, small-arm"
n04099969,"rocking chair, rocker",chair
n04111531,rotisserie,oven
n04116512,"rubber eraser, rubber, pencil eraser",eraser
n04118538,rugby ball,ball
n04118776,"rule, ruler","measuring stick, measure, measuring rod"
n04120489,running shoe,shoe
n04125021,safe,"strongbox, deedbox"
n04127249,safety pin,pin
n04131690,"saltshaker, salt shaker",shaker
n04133789,sandal,shoe
n04136333,sarong,skirt
n04141076,"sax, saxophone","single-reed instrument, single-reed woodwind"
n04141327,scabbard,sheath
n04141975,"scale, weighing machine","measuring instrument, measuring system, measuring device"
n04146614,school bus,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle"
n04147183,schooner,"sailing vessel, sailing ship"
n04149813,scoreboard,"signboard, sign"
n04152593,"screen, CRT screen","display, video display"
n04153751,screw,"fastener, fastening, holdfast, fixing"
n04154565,screwdriver,hand tool
n04162706,"seat belt, seatbelt","safety belt, life belt, safety harness"
n04179913,sewing machine,textile machine
n04192698,"shield, buckler","armor, armour"
n04200800,"shoe shop, shoe-shop, shoe store","shop, store"
n04201297,shoji,"screen, cover, covert, concealment"
n04204238,shopping basket,"basket, handbasket"
n04204347,shopping cart,"handcart, pushcart, cart, go-cart"
n04208210,shovel,hand tool
n04209133,shower cap,cap
n04209239,shower curtain,"curtain, drape, drapery, mantle, pall"
n04228054,ski,runner
n04229816,ski mask,face mask
n04235860,sleeping bag,bag
n04238763,"slide rule, slipstick","analog computer, analogue computer"
n04239074,sliding door,door
n04243546,"slot, one-armed bandit","slot machine, coin machine"
n04251144,snorkel,"breathing device, breathing apparatus, breathing machine, ventilator"
n04252077,snowmobile,tracked vehicle
n04252225,"snowplow, snowplough","motor vehicle, automotive vehicle"
n04254120,soap dispenser,dispenser
n04254680,soccer ball,ball
n04254777,sock,"hosiery, hose"
n04258138,"solar dish, solar collector, solar furnace",reflector
n04259630,sombrero,"hat, chapeau, lid"
n04263257,soup bowl,bowl
n04264628,space bar,key
n04265275,space heater,"heater, warmer"
n04266014,space shuttle,"spacecraft, ballistic capsule, space vehicle"
n04270147,spatula,"turner, food turner"
n04273569,speedboat,"motorboat, powerboat"
n04275548,"spider web, spider's web","web, entanglement"
n04277352,spindle,stick
n04285008,"sports car, sport car","car, auto, automobile, machine, motorcar"
n04286575,"spotlight, spot",lamp
n04296562,stage,platform
n04310018,steam locomotive,"locomotive, engine, locomotive engine, railway locomotive"
n04311004,steel arch bridge,"bridge, span"
n04311174,steel drum,"percussion instrument, percussive instrument"
n04317175,stethoscope,medical instrument
n04325704,stole,scarf
n04326547,stone wall,"fence, fencing"
n04328186,"stopwatch, stop watch",timer
n04330267,stove,"heater, warmer"
n04332243,strainer,filter
n04335435,"streetcar, tram, tramcar, trolley, trolley car",self-propelled vehicle
n04336792,stretcher,litter
n04344873,"studio couch, day bed","convertible, sofa bed"
n04346328,"stupa, tope",shrine
n04347754,"submarine, pigboat, sub, U-boat","submersible, submersible warship"
n04350905,"suit, suit of clothes",garment
n04355338,sundial,"timepiece, timekeeper, horologe"
n04355933,sunglass,"converging lens, convex lens"
n04356056,"sunglasses, dark glasses, shades","spectacles, specs, eyeglasses, glasses"
n04357314,"sunscreen, sunblock, sun blocker","cream, ointment, emollient"
n04366367,suspension bridge,"bridge, span"
n04367480,"swab, swob, mop","cleaning implement, cleaning device, cleaning equipment"
n04370456,sweatshirt,"pullover, slipover"
n04371430,"swimming trunks, bathing trunks","swimsuit, swimwear, bathing suit, swimming costume, bathing costume"
n04371774,swing,mechanical device
n04372370,"switch, electric switch, electrical switch","control, controller"
n04376876,syringe,medical instrument
n04380533,table lamp,lamp
n04389033,"tank, army tank, armored combat vehicle, armoured combat vehicle","armored vehicle, armoured vehicle"
n04392985,tape player,electronic equipment
n04398044,teapot,pot
n04399382,"teddy, teddy bear","plaything, toy"
n04404412,"television, television system","telecommunication system, telecom system, telecommunication equipment, telecom equipment"
n04409515,tennis ball,ball
n04417672,"thatch, thatched roof",roof
n04418357,"theater curtain, theatre curtain","curtain, drape, drapery, mantle, pall"
n04423845,thimble,cap
n04428191,"thresher, thrasher, threshing machine",farm machine
n04429376,throne,chair of state
n04435653,tile roof,roof
n04442312,toaster,kitchen appliance
n04443257,"tobacco shop, tobacconist shop, tobacconist","shop, store"
n04447861,toilet seat,seat
n04456115,torch,"light, light source"
n04458633,totem pole,"column, pillar"
n04461696,"tow truck, tow car, wrecker","truck, motortruck"
n04462240,toyshop,"shop, store"
n04465501,tractor,self-propelled vehicle
n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi","truck, motortruck"
n04476259,tray,receptacle
n04479046,trench coat,"raincoat, waterproof"
n04482393,"tricycle, trike, velocipede",wheeled vehicle
n04483307,trimaran,"sailboat, sailing boat"
n04485082,tripod,"rack, stand"
n04486054,triumphal arch,arch
n04487081,"trolleybus, trolley coach, trackless trolley","bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle"
n04487394,trombone,"brass, brass instrument"
n04493381,"tub, vat",vessel
n04501370,turnstile,gate
n04505470,typewriter keyboard,keyboard
n04507155,umbrella,canopy
n04509417,"unicycle, monocycle",wheeled vehicle
n04515003,"upright, upright piano","piano, pianoforte, forte-piano"
n04517823,"vacuum, vacuum cleaner","home appliance, household appliance"
n04522168,vase,jar
n04523525,vault,roof
n04525038,velvet,"fabric, cloth, material, textile"
n04525305,vending machine,"slot machine, coin machine"
n04532106,vestment,"gown, robe"
n04532670,viaduct,"bridge, span"
n04536866,"violin, fiddle","bowed stringed instrument, string"
n04540053,volleyball,ball
n04542943,waffle iron,kitchen appliance
n04548280,wall clock,clock
n04548362,"wallet, billfold, notecase, pocketbook",case
n04550184,"wardrobe, closet, press","furniture, piece of furniture, article of furniture"
n04552348,"warplane, military plane",heavier-than-air craft
n04553703,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",basin
n04554684,"washer, automatic washer, washing machine",white goods
n04557648,water bottle,bottle
n04560804,water jug,jug
n04562935,water tower,reservoir
n04579145,whiskey jug,jug
n04579432,whistle,acoustic device
n04584207,wig,"hairpiece, false hair, postiche"
n04589890,window screen,screen
n04590129,window shade,window blind
n04591157,Windsor tie,"necktie, tie"
n04591713,wine bottle,bottle
n04592741,wing,"airfoil, aerofoil, control surface, surface"
n04596742,wok,"pan, cooking pan"
n04597913,wooden spoon,spoon
n04599235,"wool, woolen, woollen","fabric, cloth, material, textile"
n04604644,"worm fence, snake fence, snake-rail fence, Virginia fence",rail fence
n04606251,wreck,ship
n04612504,yawl,small boat
n04613696,yurt,"dwelling, home, domicile, abode, habitation, dwelling house"
n06359193,"web site, website, internet site, site","computer, computing machine, computing device, data processor, electronic computer, information processing system"
n06596364,comic book,"magazine, mag"
n06785654,"crossword puzzle, crossword",puzzle
n06794110,street sign,sign
n06874185,"traffic light, traffic signal, stoplight",light
n07248320,"book jacket, dust cover, dust jacket, dust wrapper",jacket
n07565083,menu,fare
n07579787,plate,"entree, main course"
n07583066,guacamole,dip
n07584110,consomme,soup
n07590611,"hot pot, hotpot",stew
n07613480,trifle,"pudding, pud"
n07614500,"ice cream, icecream",frozen dessert
n07615774,"ice lolly, lolly, lollipop, popsicle",frozen dessert
n07684084,French loaf,"loaf of bread, loaf"
n07693725,"bagel, beigel","bun, roll"
n07695742,pretzel,cracker
n07697313,cheeseburger,"hamburger, beefburger, burger"
n07697537,"hotdog, hot dog, red hot",sandwich
n07711569,mashed potato,"potato, white potato, Irish potato, murphy, spud, tater"
n07714571,head cabbage,"cabbage, chou"
n07714990,broccoli,cruciferous vegetable
n07715103,cauliflower,cruciferous vegetable
n07716358,"zucchini, courgette",summer squash
n07716906,spaghetti squash,summer squash
n07717410,acorn squash,winter squash
n07717556,butternut squash,winter squash
n07718472,"cucumber, cuke","vegetable, veggie, veg"
n07718747,"artichoke, globe artichoke","vegetable, veggie, veg"
n07720875,bell pepper,sweet pepper
n07730033,cardoon,"vegetable, veggie, veg"
n07734744,mushroom,"vegetable, veggie, veg"
n07742313,Granny Smith,"eating apple, dessert apple"
n07745940,strawberry,berry
n07747607,orange,"citrus, citrus fruit, citrous fruit"
n07749582,lemon,"citrus, citrus fruit, citrous fruit"
n07753113,fig,edible fruit
n07753275,"pineapple, ananas",edible fruit
n07753592,banana,edible fruit
n07754684,"jackfruit, jak, jack",edible fruit
n07760859,custard apple,edible fruit
n07768694,pomegranate,edible fruit
n07802026,hay,fodder
n07831146,carbonara,"spaghetti sauce, pasta sauce"
n07836838,"chocolate sauce, chocolate syrup",sauce
n07860988,dough,"concoction, mixture, intermixture"
n07871810,"meat loaf, meatloaf","loaf of bread, loaf"
n07873807,"pizza, pizza pie",dish
n07875152,potpie,dish
n07880968,burrito,dish
n07892512,red wine,"wine, vino"
n07920052,espresso,"coffee, java"
n07930864,cup,punch
n07932039,eggnog,punch
n09193705,alp,"mountain, mount"
n09229709,bubble,globule
n09246464,"cliff, drop, drop-off","geological formation, formation"
n09256479,coral reef,reef
n09288635,geyser,"spring, fountain, outflow, outpouring, natural spring"
n09332890,"lakeside, lakeshore",shore
n09399592,"promontory, headland, head, foreland","natural elevation, elevation"
n09421951,"sandbar, sand bar",bar
n09428293,"seashore, coast, seacoast, sea-coast",shore
n09468604,"valley, vale","natural depression, depression"
n09472597,volcano,"mountain, mount"
n09835506,"ballplayer, baseball player","player, participant"
n10148035,"groom, bridegroom",participant
n10565667,scuba diver,"diver, frogman, underwater diver"
n11879895,rapeseed,"oilseed, oil-rich seed"
n11939491,daisy,flower
n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","lady's slipper, lady-slipper, ladies' slipper, slipper orchid"
n12144580,corn,kernel
n12267677,acorn,fruit
n12620546,"hip, rose hip, rosehip",fruit
n12768682,"buckeye, horse chestnut, conker",seed
n12985857,coral fungus,fungus
n12998815,agaric,"basidiomycete, basidiomycetous fungi"
n13037406,gyromitra,fungus
n13040303,"stinkhorn, carrion fungus",fungus
n13044778,earthstar,fungus
n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",fungus
n13054560,bolete,fungus
n13133613,"ear, spike, capitulum",fruit
n15075141,"toilet tissue, toilet paper, bathroom tissue","tissue, tissue paper"
